wi,wh,num connections,train time(us),train mse,test time(us),test mse
000001010,010,3,0:00:06.988298,67.9958922031,0:00:00.002800,7.14950497915
000001010,100,3,0:00:05.833196,120.144371772,0:00:00.002794,12.564379617
000001010,101,4,0:00:07.209656,104.881163048,0:00:00.002788,10.8003371995
000001010,110,4,0:00:07.408398,67.9958922374,0:00:00.002828,7.14950529872
000001010,111,5,0:00:06.740790,67.9320501872,0:00:00.002786,7.15211193057
000001011,001,4,0:00:05.169899,68.6579073409,0:00:00.016209,7.16787895285
000001011,000,3,0:00:06.253163,120.144371772,0:00:00.002717,12.564379617
000001011,011,5,0:00:06.679185,67.9223620307,0:00:00.002916,7.15091341297
 000001011,010,4,0:00:06.987096,67.9958922347,0:00:00.002805,7.14950527331
000001011,100,4,0:00:06.788974,120.144371772,0:00:00.080831,12.564379617
000001011,101,5,0:00:07.536247,68.6570714447,0:00:00.049675,7.16668133787
000001011,110,5,0:00:06.489902,67.9958922328,0:00:00.002840,7.14950525561
 000001100,000,2,0:00:05.417032,120.144371772,0:00:00.002768,12.564379617
000001011,111,6,0:00:06.206074,67.9223585104,0:00:00.002949,7.15091266719
000001100,001,3,0:00:06.883623,104.881163048,0:00:00.002891,10.8003371995
000001100,010,3,0:00:06.347124,120.144371772,0:00:00.006956,12.564379617
000001100,011,4,0:00:06.054286,104.881163048,0:00:00.002891,10.8003371995
000001100,101,4,0:00:05.940770,67.9320500944,0:00:00.002908,7.15211202225
000001100,111,5,0:00:05.588990,67.932049986,0:00:00.002967,7.1521121297
000001101,001,4,0:00:05.306790,68.6771302357,0:00:00.006891,7.16881046355
000001100,100,3,0:00:08.916523,67.9958922345,0:00:00.002927,7.14950527124
 000001100,110,4,0:00:07.507869,67.995892232,0:00:00.002872,7.14950524889
000001101,000,3,0:00:07.883835,120.144371772,0:00:00.002895,12.564379617
000001101,010,4,0:00:06.498449,120.144371772,0:00:00.023830,12.564379617
000001101,100,4,0:00:05.621757,67.9958921962,0:00:00.002948,7.14950491443
000001101,011,5,0:00:08.681112,68.3363032959,0:00:00.002894,7.16634365877
000001101,101,5,0:00:06.609785,67.9223522436,0:00:00.002874,7.15093265486
000001101,110,5,0:00:06.585449,67.9958922357,0:00:00.002730,7.14950528308
000001110,001,4,0:00:06.084982,104.881163048,0:00:00.002871,10.8003371995
000001101,111,6,0:00:07.590488,67.9223606964,0:00:00.002853,7.1509256864
000001110,000,3,0:00:06.607607,120.144371772,0:00:00.035330,12.564379617
000001110,011,5,0:00:05.763090,67.9320498691,0:00:00.002977,7.15211224593
000001110,111,6,0:00:04.011003,67.9200530089,0:00:00.002801,7.1512218995
000001110,010,4,0:00:08.638039,67.9958922326,0:00:00.150038,7.14950525424
000001110,100,4,0:00:07.407289,67.9958922344,0:00:00.002875,7.14950527112
000001110,110,5,0:00:06.705528,67.9837669445,0:00:00.002777,7.14805723331
000001110,101,5,0:00:07.421954,67.9320499765,0:00:00.002969,7.15211213912
000001111,001,5,0:00:06.733228,68.4104980262,0:00:00.002976,7.17284123366
 000001111,010,5,0:00:06.493548,67.9958921907,0:00:00.002889,7.14950486284
000001111,000,4,0:00:08.606439,120.144371772,0:00:00.002911,12.564379617
000001111,011,6,0:00:07.388500,67.9224128233,0:00:00.002924,7.15093542647
000001111,100,5,0:00:06.660570,67.9958922359,0:00:00.002889,7.14950528431
000001111,111,7,0:00:05.341390,67.9134089132,0:00:00.002840,7.15037628581
000001111,101,6,0:00:07.287867,67.9223608193,0:00:00.041970,7.15090803845
000001111,110,6,0:00:07.700219,67.982861096,0:00:00.002833,7.14795138897
000010000,010,2,0:00:04.662784,104.881163048,0:00:00.002939,10.8003371995
 000010000,000,1,0:00:06.575052,120.144371772,0:00:00.002692,12.564379617
000010000,001,2,0:00:05.464158,120.144371772,0:00:00.002733,12.564379617
000010000,100,2,0:00:06.605781,120.144371772,0:00:00.002928,12.564379617
 000010000,101,3,0:00:06.186831,120.144371772,0:00:00.002856,12.564379617
000010000,011,3,0:00:07.705864,104.881163048,0:00:00.226975,10.8003371995
000010000,111,4,0:00:05.294980,104.881163048,0:00:00.002936,10.8003371995
 000010001,010,3,0:00:04.261367,104.881163048,0:00:00.002675,10.8003371995
000010001,000,2,0:00:05.041794,120.144371772,0:00:00.002819,12.564379617
000010000,110,3,0:00:06.365208,104.881163048,0:00:00.194684,10.8003371995
000010001,001,3,0:00:06.603974,67.9958922353,0:00:00.002797,7.14950527857
000010001,100,3,0:00:03.736619,120.144371772,0:00:00.002913,12.564379617
000010001,011,4,0:00:07.900322,67.9320503913,0:00:00.002833,7.15211172985
000010010,000,2,0:00:05.651803,120.144371772,0:00:00.002879,12.564379617
000010001,110,4,0:00:06.513280,104.881163048,0:00:00.002903,10.8003371995
000010010,001,3,0:00:06.254169,120.144371772,0:00:00.002907,12.564379617
000010001,111,5,0:00:07.475793,67.9320498961,0:00:00.002934,7.15211221902
000010001,101,4,0:00:08.482699,67.9958921959,0:00:00.002796,7.14950491147
000010010,010,3,0:00:07.161441,68.6861727975,0:00:00.002810,7.17065463916
000010010,101,4,0:00:04.127287,120.144371772,0:00:00.009224,12.564379617
000010010,011,4,0:00:06.658275,68.1052831198,0:00:00.125885,7.17178116255
000010010,100,3,0:00:05.916619,120.144371772,0:00:00.002755,12.564379617
000010010,110,4,0:00:06.405154,68.6890177502,0:00:00.002938,7.17046196983
000010011,011,5,0:00:04.346878,67.9223710917,0:00:00.003026,7.15093394157
000010011,000,3,0:00:06.112631,120.144371772,0:00:00.002823,12.564379617
000010011,010,4,0:00:05.371501,68.9219791703,0:00:00.002942,7.17212767264
000010011,001,4,0:00:06.931899,67.995892225,0:00:00.002943,7.14950518388
 000010011,101,5,0:00:05.830181,67.9958922342,0:00:00.002844,7.1495052689
000010010,111,5,0:00:08.119734,68.656063453,0:00:00.133280,7.17300130629
000010011,100,4,0:00:07.441717,120.144371772,0:00:00.002902,12.564379617
000010011,110,5,0:00:06.152854,68.6869527102,0:00:00.002775,7.1706470069
000010100,000,2,0:00:06.343768,120.144371772,0:00:00.002888,12.564379617
000010100,010,3,0:00:05.797113,104.881163048,0:00:00.002927,10.8003371995
000010100,011,4,0:00:05.854359,104.881163048,0:00:00.002863,10.8003371995
000010100,001,3,0:00:07.569095,120.144371772,0:00:00.002811,12.564379617
000010100,101,4,0:00:05.585323,67.9958922021,0:00:00.146164,7.1495049696
000010011,111,6,0:00:08.641272,67.9223493362,0:00:00.003826,7.15092681079
000010100,110,4,0:00:05.757344,67.9320497885,0:00:00.002856,7.15211232635
000010100,100,3,0:00:06.905520,67.9958922345,0:00:00.002853,7.14950527127
000010101,001,4,0:00:04.393106,67.9958922157,0:00:00.002889,7.14950509674
000010101,000,3,0:00:06.907338,120.144371772,0:00:00.087026,12.564379617
 000010100,111,5,0:00:10.844431,67.9320499482,0:00:00.002823,7.15211216718000010101,010,4,0:00:05.962295,104.881163048,0:00:00.002770,10.8003371995

000010101,111,6,0:00:04.482535,67.9205324347,0:00:00.002822,7.15123452847
 000010101,011,5,0:00:06.076549,67.9320500024,0:00:00.002920,7.15211211334
000010101,101,5,0:00:06.213143,67.9823129546,0:00:00.090351,7.14789200509
000010101,100,4,0:00:06.719583,67.9958922365,0:00:00.037641,7.14950529035
000010101,110,5,0:00:05.916936,67.9320500083,0:00:00.002930,7.15211210757
000010110,000,3,0:00:07.056458,120.144371772,0:00:00.002942,12.564379617
 000010110,100,4,0:00:04.499690,67.9958922251,0:00:00.002872,7.14950518487
000010110,001,4,0:00:05.851204,120.144371772,0:00:00.002844,12.564379617
000010110,011,5,0:00:06.041539,68.68962122,0:00:00.002909,7.17093953018
000010110,010,4,0:00:06.487709,69.0079209923,0:00:00.002862,7.17188647453
000010111,000,4,0:00:05.014101,120.144371772,0:00:00.002801,12.564379617
000010110,110,5,0:00:06.294202,67.9223729211,0:00:00.002952,7.15090377195
000010110,101,5,0:00:07.180832,67.9958922252,0:00:00.002858,7.14950518541
000010110,111,6,0:00:07.483006,67.9223598986,0:00:00.135904,7.15091165139
000010111,001,5,0:00:06.171877,67.995892218,0:00:00.002786,7.14950511829
000010111,100,5,0:00:06.014204,67.9958922302,0:00:00.002779,7.14950523202
000010111,010,5,0:00:07.118852,68.2562404897,0:00:00.002727,7.1682642085
000010111,110,6,0:00:06.292729,67.929922055,0:00:00.002925,7.15014597987
 000010111,011,6,0:00:07.529479,67.9223574092,0:00:00.068193,7.15091892549
000010111,101,6,0:00:06.891933,67.9821805821,0:00:00.002907,7.14787820444
000010111,111,7,0:00:06.414271,67.9134318503,0:00:00.002866,7.15037072131
000011000,001,3,0:00:05.268355,104.881163048,0:00:00.002787,10.8003371995
000011000,000,2,0:00:06.015126,120.144371772,0:00:00.002859,12.564379617
000011000,010,3,0:00:05.279364,104.881163048,0:00:00.002943,10.8003371995
000011000,011,4,0:00:04.933387,104.791901981,0:00:00.002782,10.8022648369
000011000,100,3,0:00:06.177012,120.144371772,0:00:00.002910,12.564379617
000011000,101,4,0:00:06.530152,104.881163048,0:00:00.002720,10.8003371995
000011000,110,4,0:00:07.400252,104.881163048,0:00:00.002755,10.8003371995
000011001,100,4,0:00:03.406997,120.144371772,0:00:00.002927,12.564379617
000011001,010,4,0:00:06.493679,104.881163048,0:00:00.002927,10.8003371995
000011001,001,4,0:00:06.819378,68.6867928887,0:00:00.002866,7.17058278443
000011000,111,5,0:00:07.917715,104.791901981,0:00:00.002916,10.8022648369
000011001,011,5,0:00:05.735122,68.9452662045,0:00:00.002821,7.17361443508
000011001,000,3,0:00:07.585668,120.144371772,0:00:00.002892,12.564379617
000011001,101,5,0:00:06.287540,68.6695318048,0:00:00.002935,7.16829339634
000011001,110,5,0:00:06.641959,104.881163048,0:00:00.002742,10.8003371995
000011001,111,6,0:00:05.332266,68.6822188053,0:00:00.002782,7.17166067377
000011010,010,4,0:00:05.360076,68.6726807911,0:00:00.002882,7.16897465887
000011010,000,3,0:00:06.424374,120.144371772,0:00:00.002861,12.564379617
000011010,001,4,0:00:06.207970,104.881163048,0:00:00.026718,10.8003371995
000011010,100,4,0:00:05.294949,120.144371772,0:00:00.002967,12.564379617
000011010,011,5,0:00:06.635532,68.6173301421,0:00:00.002751,7.17086471494
000011010,101,5,0:00:05.659927,104.881163048,0:00:00.002957,10.8003371995
000011010,110,5,0:00:07.582035,68.6722441831,0:00:00.002974,7.1679535804
000011011,000,4,0:00:05.809798,120.144371772,0:00:00.002918,12.564379617
000011010,111,6,0:00:07.666383,68.562259228,0:00:00.002936,7.17264472683
000011011,101,6,0:00:05.471666,68.6536501089,0:00:00.002746,7.16698935055
000011011,001,5,0:00:07.378932,68.4172751977,0:00:00.003965,7.17354227873
000011011,110,6,0:00:05.869608,68.1018831377,0:00:00.002832,7.17154339824
000011011,100,5,0:00:06.820863,120.144371772,0:00:00.002771,12.564379617
000011011,011,6,0:00:07.017240,67.8453969587,0:00:00.002964,7.13201671236
000011011,010,5,0:00:08.316350,68.1705384663,0:00:00.002951,7.17137584284
000011100,001,4,0:00:05.696861,104.881163048,0:00:00.172497,10.8003371995
000011011,111,7,0:00:07.197927,67.8454029853,0:00:00.002961,7.13224744486
000011100,100,4,0:00:04.662898,67.9958922352,0:00:00.002870,7.14950527816
 000011100,000,3,0:00:07.124262,120.144371772,0:00:00.002916,12.564379617
000011100,010,4,0:00:06.257833,104.881163048,0:00:00.002931,10.8003371995
000011100,110,5,0:00:06.673762,67.9320501196,0:00:00.002928,7.15211199734
000011100,101,5,0:00:07.545884,67.9320500648,0:00:00.002896,7.15211205153
000011100,011,5,0:00:08.487473,104.791901981,0:00:00.002864,10.8022648369
000011100,111,6,0:00:07.328800,67.9320499025,0:00:00.002891,7.15211221359
000011101,001,5,0:00:05.579809,68.5804321582,0:00:00.002793,7.17171719141
000011101,100,5,0:00:05.066644,67.995892236,0:00:00.002971,7.14950528558
000011101,000,4,0:00:07.010103,120.144371772,0:00:00.002856,12.564379617
000011101,010,5,0:00:07.185467,104.881163048,0:00:00.002806,10.8003371995
000011101,011,6,0:00:07.364470,68.689581788,0:00:00.002697,7.17061524029
000011110,000,4,0:00:05.696017,120.144371772,0:00:00.002861,12.564379617
000011101,111,7,0:00:06.695013,67.9223638609,0:00:00.002943,7.15091393238
000011110,011,6,0:00:04.124037,68.6541198478,0:00:00.050889,7.16775139105
000011101,110,6,0:00:08.594745,67.93205019,0:00:00.002953,7.15211192781
000011110,010,5,0:00:05.853003,68.6514013955,0:00:00.002804,7.16742343001
000011110,001,5,0:00:06.495081,104.881163048,0:00:00.002937,10.8003371995
000011110,100,5,0:00:05.307158,67.9958922332,0:00:00.020884,7.14950525999
000011101,101,6,0:00:10.489817,67.9223504118,0:00:00.002920,7.15092334187
000011110,101,6,0:00:08.136069,67.9320499002,0:00:00.002971,7.15211221495
000011110,110,6,0:00:07.429394,67.9242371985,0:00:00.012555,7.15070072772
000011111,000,5,0:00:05.975780,120.144371772,0:00:00.181800,12.564379617
000011111,101,7,0:00:03.997361,67.9223521779,0:00:00.002993,7.15088312129
000011110,111,7,0:00:07.483795,67.9223522302,0:00:00.002804,7.15088331018
000011111,001,6,0:00:07.028217,68.6725989589,0:00:00.002796,7.16851305131
000011111,100,6,0:00:05.942680,67.9958922347,0:00:00.002731,7.14950527338
000011111,010,6,0:00:06.552901,68.6734887446,0:00:00.261629,7.16840872019
000011111,011,7,0:00:06.553193,67.8453971563,0:00:00.002852,7.13218326778
000011111,110,7,0:00:05.913055,67.9223470845,0:00:00.002913,7.15092865151
000100000,010,2,0:00:04.484486,120.144371772,0:00:00.002852,12.564379617
000011111,111,8,0:00:06.229956,67.8457008453,0:00:00.002863,7.13210157265
000100000,000,1,0:00:06.160201,120.144371772,0:00:00.107232,12.564379617
000100000,001,2,0:00:08.126512,120.144371772,0:00:00.051827,12.564379617
000100000,110,3,0:00:05.718366,104.881163048,0:00:00.002834,10.8003371995
000100000,011,3,0:00:07.223452,120.144371772,0:00:00.002815,12.564379617
000100000,101,3,0:00:06.270295,104.881163048,0:00:00.002816,10.8003371995
000100000,100,2,0:00:08.047062,104.881163048,0:00:00.002888,10.8003371995
000100001,010,3,0:00:05.255745,120.144371772,0:00:00.002957,12.564379617
000100000,111,4,0:00:06.615822,104.881163048,0:00:00.002887,10.8003371995
000100001,000,2,0:00:06.523216,120.144371772,0:00:00.002790,12.564379617
000100001,001,3,0:00:06.676131,67.9958922021,0:00:00.002925,7.14950496983
000100001,011,4,0:00:06.267228,67.9958922356,0:00:00.035138,7.14950528199
000100001,100,3,0:00:06.967106,104.881163048,0:00:00.002933,10.8003371995
000100001,101,4,0:00:06.867739,67.9320503307,0:00:00.002870,7.15211178935
000100001,110,4,0:00:06.752538,104.881163048,0:00:00.002898,10.8003371995
000100010,011,4,0:00:03.991639,67.9958922296,0:00:00.002910,7.14950522629
000100010,001,3,0:00:05.101600,120.144371772,0:00:00.002841,12.564379617
000100001,111,5,0:00:07.223776,67.9320503138,0:00:00.002836,7.15211180595
000100010,010,3,0:00:05.569347,67.9958922066,0:00:00.002872,7.14950501241
000100010,100,3,0:00:05.782712,104.881163048,0:00:00.002775,10.8003371995
000100010,000,2,0:00:09.347495,120.144371772,0:00:00.002882,12.564379617
000100010,101,4,0:00:05.939243,104.881163048,0:00:00.002868,10.8003371995
000100011,000,3,0:00:05.368819,120.144371772,0:00:00.002734,12.564379617
000100011,011,5,0:00:05.179403,67.9821837122,0:00:00.002746,7.1478785241
000100010,111,5,0:00:06.748332,67.9320496166,0:00:00.002833,7.15211249864
000100011,001,4,0:00:06.449722,67.9958922215,0:00:00.310346,7.14950515145
000100010,110,4,0:00:09.503495,67.9320502022,0:00:00.002829,7.15211191576
000100011,010,4,0:00:08.555588,67.9958922286,0:00:00.002949,7.14950521666
000100011,100,4,0:00:07.594876,104.881163048,0:00:00.002921,10.8003371995
 000100011,101,5,0:00:07.164762,67.93205004,0:00:00.002976,7.15211207604
000100100,010,3,0:00:03.853571,120.144371772,0:00:00.002913,12.564379617
000100011,110,5,0:00:05.991509,67.9320499133,0:00:00.002960,7.15211220187
000100011,111,6,0:00:06.686048,67.9202023251,0:00:00.002866,7.15122575491
000100100,000,2,0:00:07.062814,120.144371772,0:00:00.286195,12.564379617
000100100,011,4,0:00:05.667379,120.144371772,0:00:00.002906,12.564379617
000100100,001,3,0:00:07.670716,120.144371772,0:00:00.002739,12.564379617
000100100,110,4,0:00:04.084699,68.5466100987,0:00:00.002882,7.16978885191
000100100,100,3,0:00:07.067939,68.8513278788,0:00:00.002735,7.16944035663
000100101,000,3,0:00:05.557303,120.144371772,0:00:00.002659,12.564379617
000100101,001,4,0:00:05.895123,67.9958922311,0:00:00.002824,7.14950524017
 000100100,111,5,0:00:06.743229,68.6699582298,0:00:00.002929,7.16795133927
000100100,101,4,0:00:07.765230,68.6125043207,0:00:00.002804,7.17033533909
000100101,011,5,0:00:04.399373,67.9958922367,0:00:00.002759,7.14950529175
000100101,010,4,0:00:07.613345,120.144371772,0:00:00.002734,12.564379617
000100101,100,4,0:00:07.034732,68.4049948311,0:00:00.292824,7.17151894903
000100101,101,5,0:00:07.281362,67.9223580919,0:00:00.002956,7.15095391737
000100110,001,4,0:00:04.540901,120.144371772,0:00:00.002864,12.564379617
000100110,000,3,0:00:06.314456,120.144371772,0:00:00.002855,12.564379617
000100110,010,4,0:00:05.781361,67.9958922011,0:00:00.073510,7.14950496061
000100101,110,5,0:00:07.854940,68.7043645755,0:00:00.051295,7.17012942047
000100101,111,6,0:00:08.046029,67.9223479519,0:00:00.002902,7.15093944726
000100110,100,4,0:00:04.635945,68.279606996,0:00:00.002816,7.16993646283
000100110,011,5,0:00:07.323834,67.9958922351,0:00:00.002903,7.14950527699
000100110,101,5,0:00:06.308116,68.3894563558,0:00:00.002863,7.17065872376
000100111,000,4,0:00:05.919759,120.144371772,0:00:00.002761,12.564379617
000100110,110,5,0:00:08.153654,67.9223694399,0:00:00.042118,7.15092236425
000100110,111,6,0:00:08.246970,67.9223559008,0:00:00.125358,7.15088706773
000100111,010,5,0:00:05.898614,67.9958922243,0:00:00.002874,7.14950517745
000100111,001,5,0:00:06.598514,67.9958922329,0:00:00.002746,7.1495052568
000100111,011,6,0:00:06.198238,67.982230008,0:00:00.079285,7.14788332729
000100111,100,5,0:00:06.526999,68.6533529319,0:00:00.002932,7.16766700389
000100111,101,6,0:00:06.093306,67.9223602016,0:00:00.002833,7.1509221762
000100111,110,6,0:00:06.812620,67.9223636371,0:00:00.002729,7.15090939361
000101000,000,2,0:00:05.588577,120.144371772,0:00:00.002883,12.564379617
000101000,001,3,0:00:05.773555,104.881163048,0:00:00.002717,10.8003371995
000101000,010,3,0:00:05.901912,120.144371772,0:00:00.002934,12.564379617
000101000,011,4,0:00:05.863337,104.881163048,0:00:00.184000,10.8003371995
000101000,100,3,0:00:05.660886,104.881163048,0:00:00.002873,10.8003371995
000100111,111,7,0:00:07.320903,67.9140596649,0:00:00.002782,7.15038313668
000101000,101,4,0:00:06.207856,104.791901981,0:00:00.036104,10.8022648369
000101000,111,5,0:00:03.902312,104.791901981,0:00:00.002960,10.8022648369
000101001,001,4,0:00:03.012119,68.6688498575,0:00:00.002939,7.16824118996
000101001,000,3,0:00:04.459813,120.144371772,0:00:00.002641,12.564379617
000101000,110,4,0:00:09.205678,104.881163048,0:00:00.002917,10.8003371995
000101001,010,4,0:00:06.121861,120.144371772,0:00:00.002886,12.564379617
000101001,110,5,0:00:05.106215,104.881163048,0:00:00.002785,10.8003371995
000101001,011,5,0:00:06.506768,68.6284389996,0:00:00.002898,7.17346469317
000101001,100,4,0:00:06.980331,104.881163048,0:00:00.002961,10.8003371995
000101001,101,5,0:00:07.937305,68.6893650347,0:00:00.002882,7.17091909472
000101010,010,4,0:00:05.150085,67.9958922049,0:00:00.002945,7.14950499601
000101001,111,6,0:00:08.584403,68.215432509,0:00:00.002925,7.16812312389
000101010,001,4,0:00:07.636552,104.881163048,0:00:00.002823,10.8003371995
000101010,100,4,0:00:05.288989,104.881163048,0:00:00.002763,10.8003371995
000101010,000,3,0:00:08.977665,120.144371772,0:00:00.197371,12.564379617
000101010,011,5,0:00:06.173362,67.9320497426,0:00:00.042868,7.15211237223
000101010,101,5,0:00:06.618765,104.791901981,0:00:00.002934,10.8022648369
000101010,111,6,0:00:06.453377,67.9320501025,0:00:00.002919,7.15211203944
000101011,001,5,0:00:05.625067,68.6059862016,0:00:00.002732,7.16980494046
 000101011,000,4,0:00:06.166591,120.144371772,0:00:00.002770,12.564379617
000101010,110,5,0:00:08.279142,67.9320499205,0:00:00.002808,7.15211219472
000101011,010,5,0:00:06.410175,67.9958922353,0:00:00.002847,7.14950527916
000101011,100,5,0:00:07.227927,104.881163048,0:00:00.002966,10.8003371995
000101011,110,6,0:00:06.317812,67.9320501568,0:00:00.002936,7.15211196057
000101011,111,7,0:00:05.873079,67.9223597874,0:00:00.002920,7.15091686481
000101011,011,6,0:00:08.504179,67.9223638138,0:00:00.002920,7.15091255563
000101011,101,6,0:00:08.559441,68.2422563637,0:00:00.002920,7.17104549015
000101100,000,3,0:00:05.501239,120.144371772,0:00:00.002918,12.564379617
000101100,010,4,0:00:05.559668,120.144371772,0:00:00.002794,12.564379617
