"wi","wh","num connections","train time(us)","train mse","test time(us)","test mse"
"010011101","010",6,00:02:56.84,0.01,00:00:06.48,0.017181599538
"111110001","100",7,00:02:35.35,0.01,00:00:05.04,0.017181629852
"011111001","010",7,00:02:45.59,0.01,00:00:05.40,0.017181641141
"011010100","010",5,00:02:40.01,0.01,00:00:01.49,0.017181669781
"111110000","100",6,00:02:52.83,0.01,00:00:07.13,0.017181735001
"110110011","100",7,00:03:01.42,0.01,00:00:07.59,0.017181781746
"111111001","010",8,00:03:13.94,0.01,00:00:04.71,0.017181904634
"010011000","110",5,00:02:43.10,0.01,00:00:06.70,0.017181961983
"110100000","101",5,00:02:39.85,0.01,00:00:06.01,0.017182069384
"011110001","010",6,00:02:51.43,0.01,00:00:09.71,0.017182082786
"011111000","010",6,00:02:32.88,0.01,00:00:05.00,0.017182138856
"110100010","100",5,00:02:41.84,0.01,00:00:06.81,0.017182192198
"010110000","010",4,00:02:58.76,0.01,00:00:06.39,0.017182220735
"111011000","001",6,00:02:44.41,0.01,00:00:04.00,0.017182272803
"010110101","010",6,00:02:46.17,0.01,00:00:06.74,0.017182285747
"011111101","010",8,00:02:55.82,0.01,00:00:10.06,0.017182335608
"101100000","100",4,00:02:35.71,0.01,00:00:03.47,0.017182397530
"011111100","010",7,00:03:09.02,0.01,00:00:07.03,0.017182398265
"011101000","001",5,00:02:43.95,0.01,00:00:03.40,0.017182430624
"101101001","100",6,00:02:53.52,0.01,00:00:03.91,0.017182536179
"011110101","010",7,00:02:52.45,0.01,00:00:07.13,0.017182579558
"111100000","100",5,00:02:33.39,0.01,00:00:05.21,0.017182609125
"100101000","110",5,00:02:47.38,0.01,00:00:05.60,0.017182735496
"010010001","010",4,00:02:41.54,0.01,00:00:05.33,0.017182749114
"110010001","010",5,00:02:37.32,0.01,00:00:05.45,0.017182848208
"101011010","001",6,00:03:12.90,0.01,00:00:03.59,0.017182884326
"101100011","100",6,00:02:50.77,0.01,00:00:06.57,0.017183014284
"110110100","011",7,00:02:56.00,0.01,00:00:05.51,0.017183018740
"101001000","001",4,00:02:39.23,0.01,00:00:04.70,0.017183116554
"001001000","111",5,00:02:42.37,0.01,00:00:05.31,0.017183169304
"001011110","001",6,00:02:40.55,0.01,00:00:06.85,0.017183190059
"111011010","001",7,00:03:07.88,0.01,00:00:05.99,0.017183295251
"011111010","001",7,00:02:49.33,0.01,00:00:06.30,0.017183323698
"111001000","001",5,00:02:47.60,0.01,00:00:04.56,0.017183401588
"001101000","001",4,00:02:44.83,0.01,00:00:02.56,0.017183474037
"110111101","010",8,00:02:57.00,0.01,00:00:07.46,0.017183551170
"110111100","010",7,00:03:04.42,0.01,00:00:07.15,0.017183683580
"110111001","010",7,00:02:53.32,0.01,00:00:05.08,0.017184088587
"011011000","001",5,00:02:40.70,0.01,00:00:05.58,0.017184125340
"001001110","001",5,00:02:38.97,0.01,00:00:03.91,0.017184175133
"001001000","001",3,00:02:25.54,0.01,00:00:05.26,0.017184246112
"111101010","100",7,00:02:51.68,0.01,00:00:06.21,0.017184266225
"011110000","010",5,00:02:37.84,0.01,00:00:08.06,0.017184296142
"011111000","001",6,00:02:52.45,0.01,00:00:05.43,0.017184359638
"101011000","001",5,00:02:27.43,0.01,00:00:03.76,0.017184408016
"100100010","101",5,00:02:56.89,0.01,00:00:05.03,0.017184418828
